cpu_num,cpu_percent,memory_info
189,0.0,4.2421875
41,5943.6,16.4453125
12,1608.2,28.1015625
12,88.5,65.30078125
12,106.5,157.56640625
12,93.9,256.76171875
12,100.1,265.64453125
12,90.5,306.265625
12,89.6,458.40234375
12,85.8,532.8828125
12,84.0,618.109375
12,82.4,707.4375
12,80.9,814.546875
12,78.7,937.80078125
12,76.5,1004.65234375
12,83.0,1057.62109375
12,74.3,1095.578125
12,81.1,1131.4609375
12,66.1,1168.4375
12,72.4,1205.37109375
12,71.9,1224.234375
12,78.6,1229.7265625
12,71.5,1237.78125
12,71.4,1244.25
12,71.3,1250.98046875
12,85.4,1256.78125
12,71.0,1262.5625
12,70.8,1268.37109375
12,70.8,1272.21875
12,70.7,1275.0
12,77.6,1284.15625
12,77.5,1285.91015625
12,63.5,1288.09765625
12,84.6,1292.88671875
12,77.5,1297.59375
12,70.2,1303.00390625
12,91.1,1315.8359375
12,70.1,1348.234375
12,69.6,1378.97265625
12,76.6,1387.3671875
12,69.6,1389.9296875
12,69.6,1391.6875
12,76.3,1393.47265625
12,69.4,1399.9375
12,69.4,1402.640625
12,83.2,1405.79296875
12,89.7,1410.21484375
12,83.1,1417.05859375
12,76.1,1425.97265625
12,69.2,1431.82421875
12,96.1,1438.92578125
12,68.9,1446.14453125
12,68.7,1450.55859375
12,76.0,1495.19921875
12,102.6,1528.5390625
12,68.2,1555.7109375
12,67.9,1563.125
12,101.4,1564.73828125
12,68.0,1571.54296875
12,67.9,1577.375
12,74.6,1581.8515625
12,74.2,1588.25390625
12,74.5,1592.47265625
12,100.8,1593.02734375
12,67.6,1597.8828125
12,60.9,1603.2734375
12,74.4,1611.0078125
12,67.3,1614.484375
12,80.6,1618.64453125
12,60.4,1624.1015625
12,73.9,1628.3359375
12,73.8,1633.75390625
12,73.9,1647.03515625
12,93.2,1647.171875
12,93.6,1651.34765625
12,60.3,1654.9375
12,80.3,1660.75
12,86.7,1667.86328125
12,79.0,1673.44921875
12,95.0,1675.796875
12,87.8,1678.49609375
12,87.7,1680.3515625
12,79.6,1684.56640625
12,87.4,1708.4453125
12,86.5,1725.6953125
12,78.7,1726.7109375
12,101.3,1726.78515625
12,93.9,1735.79296875
12,86.3,1741.90625
12,78.6,1747.3046875
12,78.7,1833.58984375
12,101.0,1989.30859375
12,99.6,2147.08984375
12,98.6,2306.41796875
12,104.9,2466.77734375
12,96.1,2629.97265625
12,102.3,2795.23046875
12,101.0,2962.80859375
12,92.7,3131.41796875
12,105.5,3287.1875
12,90.4,3287.1875
12,97.1,3287.1875
12,104.0,3287.1875
12,97.1,3287.1875
12,96.9,3287.1875
12,104.0,3287.1875
12,96.7,3287.1875
12,97.2,3287.1875
12,103.7,3287.1875
12,97.0,3287.1875
12,104.1,3287.1875
12,97.7,3287.1875
12,97.2,3287.8203125
12,90.0,3307.09375
12,89.4,3346.8359375
13,81.9,3368.43359375
13,95.5,3404.77734375
